8810,13,13,50,72,82,243,124,110,0,7711,693
16070,14,16,315,698,723,558,349,198,0,7396,1391
16130,15,17,3,7,7,561,349,201,0,7393,1398
18209,16,17,100,188,232,661,417,228,0,7293,1586
20476,17,18,147,170,170,808,473,317,0,7146,1756
21166,18,20,31,71,71,839,479,342,0,7115,1827
22219,19,21,77,90,93,916,530,365,0,7038,1917
24432,20,23,159,207,207,1075,658,388,4,6879,2124
24851,21,24,30,68,68,1105,683,393,4,6849,2192
27865,22,24,185,272,272,1290,797,463,4,6664,2464
28123,23,26,36,45,45,1326,817,479,4,6628,2509
30002,24,27,217,255,270,1543,968,545,4,6411,2764
31278,25,27,124,160,223,1667,1072,565,4,6287,2924
43636,26,29,328,813,856,1995,1306,659,4,5959,3737
44071,27,32,46,67,111,2041,1331,680,4,5913,3804
52611,28,39,152,181,217,2193,1439,717,5,5761,3985
53345,29,50,43,71,71,2236,1477,722,5,5718,4056
163608,30,50,1480,2000,2072,3716,2813,843,8,4238,6056
164263,31,53,44,58,58,3760,2829,870,8,4194,6114
184059,32,56,132,408,751,3892,2948,883,8,4062,6522
214228,33,57,86,542,2019,3978,3029,888,8,3976,7064
215232,34,88,9,34,214,3987,3030,896,8,3967,7098
252303,35,91,121,395,438,4108,3031,1008,8,3846,7493
254226,36,105,211,256,256,4319,3164,1086,8,3635,7749
276734,37,110,187,464,943,4506,3248,1189,8,3448,8213
295244,38,120,374,467,467,4880,3525,1285,8,3074,8680
354717,39,145,335,471,517,5215,3692,1448,8,2739,9151
376770,40,169,231,262,356,5446,3868,1500,9,2508,9413
679728,41,197,128,403,909,5574,3921,1545,13,2380,9816
692493,42,199,131,161,549,5705,4052,1545,13,2249,9977
693342,43,243,7,15,74,5712,4057,1547,13,2242,9992
750239,44,254,26,257,797,5738,4071,1559,13,2216,10249
750239,45,292,0,0,0,5738,4071,1559,13,2216,10249
921309,46,375,209,665,1059,5947,4270,1569,13,2007,10914
1126488,47,420,12,484,1170,5959,4276,1571,14,1995,11398
1134446,48,687,13,18,45,5972,4281,1578,14,1982,11416
1142116,49,1022,0,9,44,5972,4281,1578,14,1982,11425
1461506,50,2381,39,171,541,6011,4294,1603,14,1943,11596
